partner_id,agency_name,partner_ref,language,title,description,deal_type,property_type,rent_monthly_chf,extra_costs_chf,purchase_price_chf,street,zipcode,city,rooms,living_area_m2,floor,contact_email,image_urls,features,available_from
P-104,Casa Bella Immobiliare SA,AG104-00002,de,Gepflegte 1.5-Zimmer-Wohnung in Zürich,Gepflegte Wohnung mit 1.5 Zimmern und 40 m² Wohnfläche im 3. Stock an der Bahnhofstrasse 15 in Zürich. Zur Ausstattung gehören Garten. Verfügbar ab 2026-11-01.,rent,flat,1610,340,,Bahnhofstrasse 15,8006,Zürich,1.5,40,3,jan.keller@casabella-immo.ch,https://images.unsplash.com/photo-1556912167-f556f1f39fdf?w=1200&q=80|https://images.unsplash.com/photo-1600585154526-990dced4db0d?w=1200&q=80,garden|minergie|pets_allowed|storage_room,2026-11-01
P-102,Régie du Lac SA,AG102-00003,fr,Appartement lumineux de 3.5 pièces à Neuchâtel,"Appartement lumineux de 3.5 pièces avec 89 m² de surface habitable au 4e étage, situé Rue du Seyon 47 à Neuchâtel. Comprend jardin. Disponible dès le 2026-10-01.",rent,flat,2160,160,,Rue du Seyon 47,2000,Neuchâtel,3.5,89,4,elena.dubois@regiedulac.ch,https://images.unsplash.com/photo-1613545325278-f24b0cae1224?w=1200&q=80|https://images.unsplash.com/photo-1493809842364-78817add7ffb?w=1200&q=80|https://images.unsplash.com/photo-1560185127-6ed189bf02f4?w=1200&q=80|https://images.unsplash.com/photo-1580587771525-78b9dba3b914?w=1200&q=80,garden|washing_machine,2026-10-01
P-104,Casa Bella Immobiliare SA,AG104-00003,de,Helle 3.5-Zimmer-Wohnung in Aarau,Helle Wohnung mit 3.5 Zimmern und 95 m² Wohnfläche im 2. Stock an der Igelweid 37 in Aarau. Zur Ausstattung gehören Garage und Garten. Verfügbar ab 2027-03-01.,rent,flat,1910,150,,Igelweid 37,5000,Aarau,3.5,95,2,elena.dubois@casabella-immo.ch,https://images.unsplash.com/photo-1600047509807-ba8f99d2cdde?w=1200&q=80|https://images.unsplash.com/photo-1554995207-c18c203602cb?w=1200&q=80|https://images.unsplash.com/photo-1568605114967-8130f3a36994?w=1200&q=80,dishwasher|garage|garden|minergie|washing_machine,2027-03-01
P-103,Alpina Real Estate AG,AG103-00002,de,Charmante 2.5-Zimmer-Maisonette-Wohnung in Bern,Charmante Maisonette-Wohnung mit 2.5 Zimmern und 68 m² Wohnfläche im 2. Stock an der Brunnmattstrasse 4 in Bern. Zur Ausstattung gehören Lift. Verfügbar ab 2026-12-01.,rent,duplex,1930,200,,Brunnmattstrasse 4,3005,Bern,2.5,68,2,elena.favre@alpina-realestate.ch,https://images.unsplash.com/photo-1600585154526-990dced4db0d?w=1200&q=80|https://images.unsplash.com/photo-1580587771525-78b9dba3b914?w=1200&q=80|https://images.unsplash.com/photo-1556909114-f6e7ad7d3136?w=1200&q=80,dishwasher|elevator|minergie,2026-12-01
P-104,Casa Bella Immobiliare SA,AG104-00004,de,Grosszügiges 1.5-Zimmer-Studio in Luzern,Grosszügiges Studio mit 1.5 Zimmern und 38 m² Wohnfläche im 1. Stock an der Obergrundstrasse 67 in Luzern. Zur Ausstattung gehören Lift und Garten. Verfügbar ab 2026-09-01.,rent,studio,1090,330,,Obergrundstrasse 67,6004,Luzern,1.5,38,1,sofia.favre@casabella-immo.ch,https://images.unsplash.com/photo-1484154218962-a197022b5858?w=1200&q=80|https://images.unsplash.com/photo-1613490493576-7fde63acd811?w=1200&q=80|https://images.unsplash.com/photo-1600047509807-ba8f99d2cdde?w=1200&q=80,elevator|garden,2026-09-01
P-104,Casa Bella Immobiliare SA,AG104-00005,de,Renoviertes 5.5-Zimmer-Loft in Luzern,Renoviertes Loft mit 5.5 Zimmern und 147 m² Wohnfläche im 6. Stock an der Pilatusstrasse 108 in Luzern. Zur Ausstattung gehören Cheminée und Garage. Verfügbar ab 2027-01-01.,buy,loft,,,1593000,Pilatusstrasse 108,6005,Luzern,5.5,147,6,anna.rossi@casabella-immo.ch,https://images.unsplash.com/photo-1600047509807-ba8f99d2cdde?w=1200&q=80|https://images.unsplash.com/photo-1502672260266-1c1ef2d93688?w=1200&q=80|https://images.unsplash.com/photo-1560185007-cde436f6a4d0?w=1200&q=80,fireplace|garage|minergie|storage_room|washing_machine,2027-01-01
P-103,Alpina Real Estate AG,AG103-00003,de,Zentrale 3.5-Zimmer-Wohnung in Zürich,Zentrale Wohnung mit 3.5 Zimmern und 86 m² Wohnfläche im 4. Stock an der Universitätstrasse 43 in Zürich. Zur Ausstattung gehören Lift und Parkplatz. Verfügbar ab 2027-04-01.,rent,flat,2740,210,,Universitätstrasse 43,8046,Zürich,3.5,86,4,luca.rossi@alpina-realestate.ch,https://images.unsplash.com/photo-1600607687920-4e2a09cf159d?w=1200&q=80|https://images.unsplash.com/photo-1580587771525-78b9dba3b914?w=1200&q=80|https://images.unsplash.com/photo-1560184897-ae75f418493e?w=1200&q=80,elevator|parking|washing_machine,2027-04-01
P-103,Alpina Real Estate AG,AG103-00004,fr,Studio charmant de 1.0 pièces à Genève,"Studio charmant de 1.0 pièces avec 28 m² de surface habitable au 6e étage, situé Rue de Lausanne 29 à Genève. Comprend jardin. Disponible dès le 2027-03-01.",rent,studio,1000,340,,Rue de Lausanne 29,1203,Genève,1.0,28,6,luca.frei@alpina-realestate.ch,https://images.unsplash.com/photo-1554995207-c18c203602cb?w=1200&q=80|https://images.unsplash.com/photo-1613490493576-7fde63acd811?w=1200&q=80|https://images.unsplash.com/photo-1600607687920-4e2a09cf159d?w=1200&q=80,garden|storage_room|washing_machine|wheelchair_access,2027-03-01
P-100,Immo Zentrum AG,AG100-00003,fr,Maison individuelle centrale de 5.5 pièces à Sion,"Maison individuelle centrale de 5.5 pièces avec 181 m² de surface habitable, située Avenue de la Gare 111 à Sion. Comprend jardin et place de parc. Disponible dès le 2026-11-01.",buy,house,,,1674000,Avenue de la Gare 111,1950,Sion,5.5,181,,jan.frei@immo-zentrum.ch,https://images.unsplash.com/photo-1568605114967-8130f3a36994?w=1200&q=80|https://images.unsplash.com/photo-1600047509807-ba8f99d2cdde?w=1200&q=80|https://images.unsplash.com/photo-1600607687939-ce8a6c25118c?w=1200&q=80,garden|minergie|parking,2026-11-01
P-101,Wohntraum Immobilien GmbH,AG101-00005,fr,Appartement moderne de 4.5 pièces à Neuchâtel,"Appartement moderne de 4.5 pièces avec 109 m² de surface habitable au 6e étage, situé Rue du Seyon 97 à Neuchâtel. Comprend ascenseur. Disponible dès le 2026-12-01.",rent,flat,2600,230,,Rue du Seyon 97,2000,Neuchâtel,4.5,109,6,luca.martin@wohntraum-immo.ch,https://images.unsplash.com/photo-1570129477492-45c003edd2be?w=1200&q=80|https://images.unsplash.com/photo-1484154218962-a197022b5858?w=1200&q=80,elevator|pets_allowed,2026-12-01
P-103,Alpina Real Estate AG,AG103-00005,de,Moderne 2.5-Zimmer-Dachwohnung in Zürich,Moderne Dachwohnung mit 2.5 Zimmern und 66 m² Wohnfläche im 1. Stock an der Röntgenstrasse 4 in Zürich. Zur Ausstattung gehören Garage. Verfügbar ab 2027-03-01.,rent,attic_flat,2180,200,,Röntgenstrasse 4,8006,Zürich,2.5,66,1,sofia.favre@alpina-realestate.ch,https://images.unsplash.com/photo-1560185007-cde436f6a4d0?w=1200&q=80|https://images.unsplash.com/photo-1613977257363-707ba9348227?w=1200&q=80|https://images.unsplash.com/photo-1556909114-f6e7ad7d3136?w=1200&q=80|https://images.unsplash.com/photo-1570129477492-45c003edd2be?w=1200&q=80,dishwasher|garage,2027-03-01
P-103,Alpina Real Estate AG,AG103-00006,de,Zentrale 3.5-Zimmer-Wohnung in Köniz,Zentrale Wohnung mit 3.5 Zimmern und 100 m² Wohnfläche im 4. Stock an der Sägestrasse 9 in Köniz. Verfügbar ab 2026-09-01.,buy,flat,,,895000,Sägestrasse 9,3098,Köniz,3.5,100,4,anna.favre@alpina-realestate.ch,https://images.unsplash.com/photo-1600566753190-17f0baa2a6c3?w=1200&q=80|https://images.unsplash.com/photo-1556909114-f6e7ad7d3136?w=1200&q=80|https://images.unsplash.com/photo-1580587771525-78b9dba3b914?w=1200&q=80,pets_allowed|storage_room,2026-09-01
P-103,Alpina Real Estate AG,AG103-00007,de,Charmantes 6.5-Zimmer-Einfamilienhaus in Basel,Charmantes Einfamilienhaus mit 6.5 Zimmern und 170 m² Wohnfläche an der Steinenvorstadt 36 in Basel. Zur Ausstattung gehören Cheminée und Garten. Verfügbar ab 2026-12-01.,rent,house,4850,260,,Steinenvorstadt 36,4056,Basel,6.5,170,,elena.martin@alpina-realestate.ch,https://images.unsplash.com/photo-1600607687920-4e2a09cf159d?w=1200&q=80|https://images.unsplash.com/photo-1600607687939-ce8a6c25118c?w=1200&q=80|https://images.unsplash.com/photo-1560448204-e02f11c3d0e2?w=1200&q=80|https://images.unsplash.com/photo-1600566752355-35792bedcfea?w=1200&q=80,dishwasher|fireplace|garden|pets_allowed|wheelchair_access,2026-12-01
P-104,Casa Bella Immobiliare SA,AG104-00006,de,Modernes 4.5-Zimmer-Einfamilienhaus in Basel,Modernes Einfamilienhaus mit 4.5 Zimmern und 136 m² Wohnfläche an der Güterstrasse 93 in Basel. Zur Ausstattung gehören Balkon und Lift. Verfügbar ab 2027-04-01.,buy,house,,,1338000,Güterstrasse 93,4056,Basel,4.5,136,,sofia.bernasconi@casabella-immo.ch,https://images.unsplash.com/photo-1560185007-cde436f6a4d0?w=1200&q=80|https://images.unsplash.com/photo-1600566752355-35792bedcfea?w=1200&q=80|https://images.unsplash.com/photo-1600047509807-ba8f99d2cdde?w=1200&q=80|https://images.unsplash.com/photo-1613490493576-7fde63acd811?w=1200&q=80,balcony|elevator|garden|storage_room|washing_machine,2027-04-01
P-100,Immo Zentrum AG,AG100-00004,de,Ruhige 3.5-Zimmer-Wohnung in St. Gallen,Ruhige Wohnung mit 3.5 Zimmern und 83 m² Wohnfläche im 5. Stock an der Langgasse 40 in St. Gallen. Zur Ausstattung gehören Garten. Verfügbar ab 2026-12-01.,rent,flat,1880,200,,Langgasse 40,9008,St. Gallen,3.5,83,5,fraud@immo-zentrum.ch,https://images.unsplash.com/photo-1560185127-6ed189bf02f4?w=1200&q=80|https://images.unsplash.com/photo-1600121848594-d8644e57abab?w=1200&q=80,garden|pets_allowed|storage_room|wheelchair_access,2026-12-01
P-102,Régie du Lac SA,AG102-00004,de,Gepflegtes 6.5-Zimmer-Reihenhaus in St. Gallen,Gepflegtes Reihenhaus mit 6.5 Zimmern und 172 m² Wohnfläche an der Rorschacher Strasse 39 in St. Gallen. Zur Ausstattung gehören Lift und Garten. Verfügbar ab 2026-11-01.,buy,terrace_house,,,1506000,Rorschacher Strasse 39,9000,St. Gallen,6.5,172,,luca.keller@regiedulac.ch,https://images.unsplash.com/photo-1600596542815-ffad4c1539a9?w=1200&q=80|https://images.unsplash.com/photo-1560185007-cde436f6a4d0?w=1200&q=80|https://images.unsplash.com/photo-1484154218962-a197022b5858?w=1200&q=80|https://images.unsplash.com/photo-1556909114-f6e7ad7d3136?w=1200&q=80,dishwasher|elevator|garden|minergie|parking,2026-11-01
P-104,Casa Bella Immobiliare SA,AG104-00007,de,Modernes 5.5-Zimmer-Einfamilienhaus in Zürich,Modernes Einfamilienhaus mit 5.5 Zimmern und 145 m² Wohnfläche an der Seefeldstrasse 52 in Zürich. Zur Ausstattung gehören Balkon und Cheminée. Verfügbar ab 2026-10-01.,buy,house,,,2052000,Seefeldstrasse 52,8037,Zürich,5.5,145,,luca.huber@casabella-immo.ch,https://images.unsplash.com/photo-1613490493576-7fde63acd811?w=1200&q=80|https://images.unsplash.com/photo-1598928506311-c55ded91a20c?w=1200&q=80,balcony|dishwasher|fireplace|garage|garden,2026-10-01
P-104,Casa Bella Immobiliare SA,AG104-00008,it,Casa a schiera tranquilla di 4.5 locali a Lugano,"Casa a schiera tranquilla di 4.5 locali con 154 m² di superficie abitabile, in Via Pretorio 111 a Lugano. Include camino e giardino. Disponibile dal 2027-01-01.",rent,terrace_house,4350,300,,Via Pretorio 111,6962,Lugano,4.5,154,,elena.keller@casabella-immo.ch,https://images.unsplash.com/photo-1560185127-6ed189bf02f4?w=1200&q=80|https://images.unsplash.com/photo-1493809842364-78817add7ffb?w=1200&q=80|https://images.unsplash.com/photo-1560184897-ae75f418493e?w=1200&q=80|https://images.unsplash.com/photo-1568605114967-8130f3a36994?w=1200&q=80,fireplace|garden|storage_room,2027-01-01
P-100,Immo Zentrum AG,AG100-00005,fr,Studio charmant de 1.5 pièces à Sion,"Studio charmant de 1.5 pièces avec 40 m² de surface habitable au 1er étage, situé Rue du Grand-Pont 91 à Sion. Comprend balcon et cheminée. Disponible dès le 2027-04-01.",rent,studio,870,160,,Rue du Grand-Pont 91,1950,Sion,1.5,40,1,sofia.meier@immo-zentrum.ch,https://images.unsplash.com/photo-1598928506311-c55ded91a20c?w=1200&q=80|https://images.unsplash.com/photo-1554995207-c18c203602cb?w=1200&q=80|https://images.unsplash.com/photo-1613490493576-7fde63acd811?w=1200&q=80|https://images.unsplash.com/photo-1576941089067-2de3c901e126?w=1200&q=80,balcony|dishwasher|fireplace|washing_machine|wheelchair_access,2027-04-01
P-103,Alpina Real Estate AG,AG103-00008,fr,Appartement rénové de 2.5 pièces à Sion,"Appartement rénové de 2.5 pièces avec 65 m² de surface habitable au 5e étage, situé Rue du Grand-Pont 16 à Sion. Comprend garage. Disponible dès le 2027-01-01.",rent,flat,1290,150,,Rue du Grand-Pont 16,1950,Sion,2.5,65,5,jan.steiner@alpina-realestate.ch,https://images.unsplash.com/photo-1600566752355-35792bedcfea?w=1200&q=80|https://images.unsplash.com/photo-1600047509807-ba8f99d2cdde?w=1200&q=80|https://images.unsplash.com/photo-1502672260266-1c1ef2d93688?w=1200&q=80|https://images.unsplash.com/photo-1556912167-f556f1f39fdf?w=1200&q=80,dishwasher|garage,2027-01-01
P-101,Wohntraum Immobilien GmbH,AG101-00006,fr,Appartement lumineux de 4.5 pièces à Bienne,"Appartement lumineux de 4.5 pièces avec 125 m² de surface habitable au 4e étage, situé Bahnhofstrasse 61 à Bienne. Disponible dès le 2027-01-01.",rent,flat,2330,340,,Bahnhofstrasse 61,2503,Biel/Bienne,4.5,125,4,elena.frei@wohntraum-immo.ch,https://images.unsplash.com/photo-1613977257363-707ba9348227?w=1200&q=80|https://images.unsplash.com/photo-1600566752355-35792bedcfea?w=1200&q=80|https://images.unsplash.com/photo-1502672260266-1c1ef2d93688?w=1200&q=80|https://images.unsplash.com/photo-1600566753190-17f0baa2a6c3?w=1200&q=80,dishwasher|minergie,2027-01-01
P-104,Casa Bella Immobiliare SA,AG104-00009,de,Renovierte 2.5-Zimmer-Wohnung in Bern,Renovierte Wohnung mit 2.5 Zimmern und 72 m² Wohnfläche im 2. Stock an der Stauffacherstrasse 15 in Bern. Zur Ausstattung gehören Balkon und Cheminée. Verfügbar ab 2026-09-01.,rent,flat,1980,270,,Stauffacherstrasse 15,3013,Bern,2.5,72,2,anna.frei@casabella-immo.ch,https://images.unsplash.com/photo-1568605114967-8130f3a36994?w=1200&q=80|https://images.unsplash.com/photo-1600210492486-724fe5c67fb0?w=1200&q=80,balcony|fireplace|parking|pets_allowed|storage_room,2026-09-01
P-100,Immo Zentrum AG,AG100-00006,de,Charmante 4.5-Zimmer-Wohnung in Baden,Charmante Wohnung mit 4.5 Zimmern und 121 m² Wohnfläche im 6. Stock an der Badstrasse 40 in Baden. Zur Ausstattung gehören Balkon und Cheminée. Verfügbar ab 2027-03-01.,rent,flat,2400,150,,Badstrasse 40,5400,Baden,4.5,121,6,sofia.favre@immo-zentrum.ch,https://images.unsplash.com/photo-1493809842364-78817add7ffb?w=1200&q=80|https://images.unsplash.com/photo-1556909114-f6e7ad7d3136?w=1200&q=80|https://images.unsplash.com/photo-1613977257363-707ba9348227?w=1200&q=80,balcony|fireplace|parking|washing_machine,2027-03-01
P-104,Casa Bella Immobiliare SA,AG104-00010,de,Moderne 3.5-Zimmer-Wohnung in Luzern,Moderne Wohnung mit 3.5 Zimmern und 91 m² Wohnfläche im 2. Stock an der Bruchstrasse 99 in Luzern. Zur Ausstattung gehören Lift und Garage. Verfügbar ab 2027-02-01.,rent,flat,2490,230,,Bruchstrasse 99,6004,Luzern,3.5,91,2,jan.keller@casabella-immo.ch,https://images.unsplash.com/photo-1560185127-6ed189bf02f4?w=1200&q=80|https://images.unsplash.com/photo-1600596542815-ffad4c1539a9?w=1200&q=80|https://images.unsplash.com/photo-1613977257363-707ba9348227?w=1200&q=80,elevator|garage|garden|minergie|storage_room,2027-02-01
P-103,Alpina Real Estate AG,AG103-00009,de,Charmantes 1.5-Zimmer-Studio in Zürich,Charmantes Studio mit 1.5 Zimmern und 43 m² Wohnfläche im 3. Stock an der Universitätstrasse 6 in Zürich. Zur Ausstattung gehören Lift und Cheminée. Verfügbar ab 2027-04-01.,rent,studio,1470,250,,Universitätstrasse 6,8008,Zürich,1.5,43,3,fraud@alpina-realestate.ch,https://images.unsplash.com/photo-1522708323590-d24dbb6b0267?w=1200&q=80|https://images.unsplash.com/photo-1484154218962-a197022b5858?w=1200&q=80|https://images.unsplash.com/photo-1600210492486-724fe5c67fb0?w=1200&q=80,elevator|fireplace|garden|pets_allowed|wheelchair_access,2027-04-01
P-100,Immo Zentrum AG,AG100-00007,de,Ruhiges 5.5-Zimmer-Reihenhaus in Luzern,Ruhiges Reihenhaus mit 5.5 Zimmern und 179 m² Wohnfläche an der Bruchstrasse 44 in Luzern. Zur Ausstattung gehören Balkon und Garage. Verfügbar ab 2027-03-01.,buy,terrace_house,,,1893000,Bruchstrasse 44,6005,Luzern,5.5,179,,claire.steiner@immo-zentrum.ch,https://images.unsplash.com/photo-1600607687939-ce8a6c25118c?w=1200&q=80|https://images.unsplash.com/photo-1556909114-f6e7ad7d3136?w=1200&q=80|https://images.unsplash.com/photo-1560185007-cde436f6a4d0?w=1200&q=80,balcony|garage|garden|minergie|parking,2027-03-01
P-100,Immo Zentrum AG,AG100-00008,de,Modernes 5.5-Zimmer-Einfamilienhaus in Luzern,Modernes Einfamilienhaus mit 5.5 Zimmern und 179 m² Wohnfläche an der Bruchstrasse 22 in Luzern. Zur Ausstattung gehören Lift und Garten. Verfügbar ab 2027-01-01.,buy,house,,,1950000,Bruchstrasse 22,6005,Luzern,5.5,179,,luca.dubois@immo-zentrum.ch,https://images.unsplash.com/photo-1600596542815-ffad4c1539a9?w=1200&q=80|https://images.unsplash.com/photo-1600566753190-17f0baa2a6c3?w=1200&q=80,elevator|garden|minergie|parking,2027-01-01
P-103,Alpina Real Estate AG,AG103-00010,de,Charmante 2.5-Zimmer-Wohnung in Uster,Charmante Wohnung mit 2.5 Zimmern und 59 m² Wohnfläche im 3. Stock an der Seestrasse 117 in Uster. Zur Ausstattung gehören Garten. Verfügbar ab 2026-12-01.,rent,flat,1390,160,,Seestrasse 117,8610,Uster,2.5,59,3,jan.bernasconi@alpina-realestate.ch,https://images.unsplash.com/photo-1554995207-c18c203602cb?w=1200&q=80|https://images.unsplash.com/photo-1560448204-e02f11c3d0e2?w=1200&q=80|https://images.unsplash.com/photo-1580587771525-78b9dba3b914?w=1200&q=80,garden|wheelchair_access,2026-12-01
P-101,Wohntraum Immobilien GmbH,AG101-00007,de,Renoviertes 5.5-Zimmer-Einfamilienhaus in Köniz,Renoviertes Einfamilienhaus mit 5.5 Zimmern und 170 m² Wohnfläche an der Schwarzenburgstrasse 50 in Köniz. Zur Ausstattung gehören Cheminée und Garten. Verfügbar ab 2026-10-01.,buy,house,,,1315000,Schwarzenburgstrasse 50,3098,Köniz,5.5,170,,matteo.martin@wohntraum-immo.ch,https://images.unsplash.com/photo-1598928506311-c55ded91a20c?w=1200&q=80|https://images.unsplash.com/photo-1600596542815-ffad4c1539a9?w=1200&q=80|https://images.unsplash.com/photo-1560185007-cde436f6a4d0?w=1200&q=80,dishwasher|fireplace|garden|minergie,2026-10-01
P-101,Wohntraum Immobilien GmbH,AG101-00008,de,Renovierte 4.5-Zimmer-Wohnung in Baden,Renovierte Wohnung mit 4.5 Zimmern und 108 m² Wohnfläche im 4. Stock an der Badstrasse 78 in Baden. Zur Ausstattung gehören Cheminée. Verfügbar ab 2026-12-01.,buy,flat,,,961000,Badstrasse 78,5400,Baden,4.5,108,4,elena.meier@wohntraum-immo.ch,https://images.unsplash.com/photo-1560184897-ae75f418493e?w=1200&q=80|https://images.unsplash.com/photo-1560185127-6ed189bf02f4?w=1200&q=80|https://images.unsplash.com/photo-1554995207-c18c203602cb?w=1200&q=80|https://images.unsplash.com/photo-1613977257363-707ba9348227?w=1200&q=80,fireplace|wheelchair_access,2026-12-01
